personName,countryOfCitizenship,selfMade,industries
Bernard Arnault & family,France,False,Fashion & Retail
Elon Musk,United States,True,Automotive
Jeff Bezos,United States,True,Technology
Larry Ellison,United States,True,Technology
Warren Buffett,United States,True,Finance & Investments
Bill Gates,United States,True,Technology
Michael Bloomberg,United States,True,Media & Entertainment
Carlos Slim Helu & family,Mexico,True,Telecom
Mukesh Ambani,India,False,Diversified
Steve Ballmer,United States,True,Technology
Francoise Bettencourt Meyers & family,France,False,Fashion & Retail
Larry Page,United States,True,Technology
Amancio Ortega,Spain,True,Fashion & Retail
Sergey Brin,United States,True,Technology
Zhong Shanshan,China,True,Food & Beverage
Mark Zuckerberg,United States,True,Technology
Charles Koch & family,United States,False,Diversified
Julia Koch & family,United States,False,Diversified
Jim Walton,United States,False,Fashion & Retail
Rob Walton & family,United States,False,Fashion & Retail
Alice Walton,United States,False,Fashion & Retail
David Thomson & family,Canada,False,Media & Entertainment
Michael Dell,United States,True,Technology
Gautam Adani,India,True,Diversified
Phil Knight & family,United States,True,Fashion & Retail
Zhang Yiming,China,True,Technology
Dieter Schwarz,Germany,False,Fashion & Retail
François Pinault & family,France,True,Fashion & Retail
Klaus-Michael Kuehne,Germany,False,Logistics
Giovanni Ferrero,Italy,False,Food & Beverage
Jacqueline Mars,United States,False,Food & Beverage
John Mars,United States,False,Food & Beverage
Li Ka-shing,Hong Kong,True,Diversified
Ma Huateng,China,True,Technology
Miriam Adelson & family,United States,False,Gambling & Casinos
Ken Griffin,United States,True,Finance & Investments
Mark Mateschitz,Austria,False,Food & Beverage
Robin Zeng,Hong Kong,True,Automotive
Tadashi Yanai & family,Japan,True,Fashion & Retail
Len Blavatnik,United States,True,Diversified
Alain Wertheimer,France,False,Fashion & Retail
Gerard Wertheimer,France,False,Fashion & Retail
Gianluigi Aponte,Switzerland,True,Logistics
Rafaela Aponte-Diamant,Switzerland,True,Logistics
Colin Zheng Huang,China,True,Technology
Reinhold Wuerth & family,Germany,True,Manufacturing
Lee Shau Kee,Hong Kong,True,Real Estate
Jeff Yass,United States,True,Finance & Investments
Jim Simons,United States,True,Finance & Investments
Stephen Schwarzman,United States,True,Finance & Investments
Susanne Klatten,Germany,False,Automotive
Gina Rinehart,Australia,False,Metals & Mining
William Ding,China,True,Technology
Germán Larrea Mota Velasco & family,Mexico,False,Metals & Mining
Shiv Nadar,India,True,Technology
Low Tuck Kwong,Indonesia,True,Energy
Thomas Peterffy,United States,True,Finance & Investments
Andrey Melnichenko & family,Russia,True,Metals & Mining
Stefan Quandt,Germany,False,Automotive
MacKenzie Scott,United States,False,Technology
R. Budi Hartono,Indonesia,False,Finance & Investments
Vladimir Potanin,Russia,True,Metals & Mining
Jack Ma,China,True,Technology
He Xiangjian & family,China,True,Manufacturing
Iris Fontbona & family,Chile,False,Metals & Mining
Michael Hartono,Indonesia,False,Manufacturing
James Ratcliffe,United Kingdom,True,Manufacturing
Cyrus Poonawalla,India,False,Healthcare
Masayoshi Son,Japan,True,Telecom
Vladimir Lisin,Russia,True,Metals & Mining
Emmanuel Besnier,France,False,Food & Beverage
Abigail Johnson,United States,False,Finance & Investments
Leonid Mikhelson & family,Russia,True,Energy
Lukas Walton,United States,False,Fashion & Retail
Wang Wei,China,True,Service
Jensen Huang,United States,True,Technology
Leonard Lauder,United States,False,Fashion & Retail
Takemitsu Takizaki,Japan,True,Manufacturing
Alexey Mordashov & family,Russia,True,Metals & Mining
Vagit Alekperov,Russia,True,Energy
"Thomas Frist, Jr. & family",United States,True,Healthcare
Andrew Forrest,Australia,True,Metals & Mining
Ray Dalio,United States,True,Finance & Investments
Eric Li,China,True,Automotive
Wang Wenyin,China,True,Metals & Mining
Eyal Ofer,Israel,False,Diversified
Qin Yinglin,China,True,Food & Beverage
Wang Chuanfu,China,True,Automotive
Harold Hamm & family,United States,True,Energy
David Tepper,United States,True,Finance & Investments
Gennady Timchenko,Russia,True,Energy
Daniel Gilbert,United States,True,Finance & Investments
Lakshmi Mittal,India,False,Metals & Mining
Steve Cohen,United States,True,Finance & Investments
Carl Icahn,United States,True,Finance & Investments
Savitri Jindal & family,India,False,Metals & Mining
Donald Bren,United States,True,Real Estate
"John Menard, Jr.",United States,True,Fashion & Retail
Rupert Murdoch & family,United States,False,Media & Entertainment
Vicky Safra & family,Brazil,False,Finance & Investments
"Theo Albrecht, Jr. & family",Germany,False,Fashion & Retail
Renata Kellnerova & family,Czech Republic,False,Finance & Investments
Li Xiting,Singapore,True,Healthcare
Stefan Persson,Sweden,False,Fashion & Retail
Eric Schmidt,United States,True,Technology
Michael Platt,United Kingdom,True,Finance & Investments
Pang Kang,China,True,Food & Beverage
Karl Albrecht Jr. & family,Germany,False,Fashion & Retail
Beate Heister,Germany,False,Fashion & Retail
Jorge Paulo Lemann & family,Brazil,True,Food & Beverage
Peter Woo,Hong Kong,False,Real Estate
Dilip Shanghvi,India,True,Healthcare
Robert Pera,United States,True,Technology
Radhakishan Damani,India,True,Fashion & Retail
Huang Shilin,China,True,Automotive
Dhanin Chearavanont,Thailand,False,Diversified
David Green & family,United States,True,Fashion & Retail
Charoen Sirivadhanabhakdi,Thailand,True,Food & Beverage
Charlene de Carvalho-Heineken & family,Netherlands,False,Food & Beverage
Xu Hang,Hong Kong,True,Healthcare
Wei Jianjun & family,China,True,Automotive
Alisher Usmanov,Russia,True,Metals & Mining
Goh Cheng Liang,Singapore,True,Manufacturing
Kumar Birla,India,False,Diversified
Aliko Dangote,Nigeria,True,Manufacturing
Kwong Siu-hing,Hong Kong,False,Real Estate
Idan Ofer,Israel,False,Diversified
Chen Bang,China,True,Healthcare
Lui Che Woo,Hong Kong,True,Gambling & Casinos
John Fredriksen,Cyprus,True,Logistics
Diane Hendricks,United States,True,Construction & Engineering
Jan Koum,United States,True,Technology
Jerry Jones,United States,True,Sports
George Kaiser,United States,False,Energy
Joseph Lau,Hong Kong,True,Real Estate
Lu Xiangyang,China,True,Automotive
Harry Triguboff,Australia,True,Real Estate
Uday Kotak,India,True,Finance & Investments
Stanley Kroenke,United States,True,Sports
Mikhail Fridman,Russia,True,Energy
Sarath Ratanavadi,Thailand,True,Energy
Dang Yanbao,China,True,Metals & Mining
Jiang Rensheng & family,China,True,Healthcare
Shahid Khan,United States,True,Automotive
Laurene Powell Jobs & family,United States,False,Technology
Robert Kuok,Malaysia,True,Diversified
Stephen Ross,United States,True,Real Estate
Pavel Durov,United Arab Emirates,True,Technology
Andreas Struengmann & family,Germany,True,Healthcare
Thomas Struengmann & family,Germany,True,Healthcare
Liu Hanyuan,China,True,Food & Beverage
Michael Rubin,United States,True,Fashion & Retail
Israel Englander,United States,True,Finance & Investments
Viatcheslav Kantor,Russia,True,Manufacturing
Anthony Pratt,Australia,False,Manufacturing
Mikhail Prokhorov,Russia,True,Finance & Investments
Giorgio Armani,Italy,True,Fashion & Retail
Johann Rupert & family,South Africa,False,Fashion & Retail
Gong Hongjia & family,Hong Kong,True,Finance & Investments
Zhang Zhidong,China,True,Technology
Philip Anschutz,United States,False,Finance & Investments
Judy Love & family,United States,True,Fashion & Retail
Ricardo Salinas Pliego & family,Mexico,False,Fashion & Retail
Donald Newhouse,United States,False,Media & Entertainment
Robert Kraft,United States,True,Sports
Marcel Herrmann Telles,Brazil,True,Food & Beverage
Suleiman Kerimov & family,Russia,True,Finance & Investments
Sky Xu,China,True,Fashion & Retail
Changpeng Zhao,Canada,True,Finance & Investments
Andrew Beal,United States,True,Finance & Investments
Mike Cannon-Brookes,Australia,True,Technology
Carl Cook,United States,False,Healthcare
David Duffield,United States,True,Technology
Jeffery Hildebrand,United States,True,Energy
Viktor Rashnikov,Russia,True,Manufacturing
Eduardo Saverin,Brazil,True,Technology
Georg Schaeffler,Germany,False,Automotive
Christy Walton,United States,False,Fashion & Retail
Scott Farquhar,Australia,True,Technology
Quek Leng Chan,Malaysia,False,Diversified
Wu Yajun,China,True,Real Estate
Autry Stephens,United States,True,Energy
Liu Yongxing,China,True,Service
Vinod Adani,Cyprus,True,Diversified
Nicolas Puech,France,False,Fashion & Retail
"Jacques Saadé, Jr.",France,False,Logistics
Rodolphe Saadé,France,False,Logistics
Tanya Saadé Zeenny,France,False,Logistics
Melker Schorling & family,Sweden,True,Finance & Investments
Andrei Guriev & family,Russia,True,Manufacturing
Michael Kim,United States,True,Finance & Investments
Lei Jun,China,True,Technology
Friedhelm Loh,Germany,False,Manufacturing
Sun Piaoyang,China,True,Healthcare
Rick Cohen & family,United States,False,Technology
Jin Baofang,China,True,Energy
Luo Liguo & family,China,True,Manufacturing
Marijke Mars,United States,False,Food & Beverage
Pamela Mars,United States,False,Food & Beverage
Valerie Mars,United States,False,Food & Beverage
Victoria Mars,United States,False,Food & Beverage
Vincent Bolloré & family,France,False,Finance & Investments
Jim Pattison,Canada,True,Diversified
Ernesto Bertarelli,Switzerland,False,Healthcare
Wang Xing,China,True,Technology
Brian Chesky,United States,True,Technology
James Dyson,United Kingdom,True,Manufacturing
Roman Abramovich & family,Russia,True,Diversified
Antonia Ax:son Johnson & family,Sweden,False,Diversified
Daniel Kretinsky,Czech Republic,True,Energy
John Malone,United States,True,Media & Entertainment
Azim Premji,India,False,Technology
Charles Schwab,United States,True,Finance & Investments
Eric Smidt,United States,True,Fashion & Retail
David Cheriton,Canada,True,Technology
Ivan Glasenberg,Switzerland,True,Metals & Mining
Alexander Otto,Germany,False,Real Estate
Anthony von Mandl,Canada,True,Food & Beverage
Wang Liping & family,China,True,Manufacturing
Finn Rausing,Sweden,False,Food & Beverage
Jorn Rausing,Sweden,False,Food & Beverage
Kirsten Rausing,Sweden,False,Food & Beverage
Tatyana Bakalchuk,Russia,True,Fashion & Retail
John Doerr,United States,True,Technology
Richard Liu,China,True,Technology
Dustin Moskovitz,United States,True,Technology
Pierre Omidyar,United States,True,Technology
Pei Zhenhua,China,True,Energy
Carrie Perrodo & family,France,False,Energy
Chen Jianhua,China,True,Manufacturing
Michael Otto,Germany,False,Fashion & Retail
Leon Black,United States,True,Finance & Investments
Graeme Hart,New Zealand,True,Finance & Investments
Ravi Jaipuria,India,False,Food & Beverage
Hasso Plattner & family,Germany,True,Technology
Carlos Alberto Sicupira & family,Brazil,True,Food & Beverage
Manuel Villar,Philippines,True,Real Estate
Andreas von Bechtolsheim & family,Germany,True,Technology
"Chase Coleman, III.",United States,True,Finance & Investments
Ann Walton Kroenke,United States,False,Fashion & Retail
Li Zhenguo & family,China,True,Manufacturing
Jim Kennedy,United States,False,Media & Entertainment
Nicky Oppenheimer & family,South Africa,False,Metals & Mining
Blair Parry-Okeden,United States,False,Media & Entertainment
Zheng Shuliang & family,China,False,Metals & Mining
John Morris,United States,True,Fashion & Retail
Stefano Pessina,Monaco,False,Fashion & Retail
Francine von Finck & family,Germany,False,Finance & Investments
Francis Choi,Hong Kong,True,Real Estate
German Khan,Russia,True,Energy
Abdulsamad Rabiu,Nigeria,False,Diversified
George Roberts,United States,True,Finance & Investments
Kushal Pal Singh,India,False,Real Estate
Wang Jianlin,China,True,Real Estate
Yang Huiyan & family,China,False,Real Estate
Laurent Dassault,France,False,Diversified
Thierry Dassault,France,False,Diversified
Tilman Fertitta,United States,True,Food & Beverage
Marie-Hélène Habert-Dassault,France,False,Diversified
Karel Komarek,Czech Republic,True,Gambling & Casinos
Nathan Blecharczyk,United States,True,Technology
Leonid Fedun,Russia,True,Energy
Bernard Marcus,United States,True,Fashion & Retail
Patrick Ryan,United States,True,Finance & Investments
Robert F. Smith,United States,True,Finance & Investments
Pavel Tykac,Czech Republic,True,Metals & Mining
Eric Wittouck,Belgium,False,Finance & Investments
Orlando Bravo,United States,True,Finance & Investments
Ding Shizhong,China,True,Fashion & Retail
Nancy Walton Laurie,United States,False,Fashion & Retail
Jay Y. Lee,South Korea,False,Technology
Ramzi Musallam,United States,True,Finance & Investments
David Shaw,United States,True,Finance & Investments
Andrei Skoch & family,Russia,True,Metals & Mining
Georg Stumpf,Austria,True,Diversified
Rocco Commisso,United States,True,Telecom
Li Shuirong & family,China,True,Manufacturing
Lin Shu-hong,Taiwan,True,Manufacturing
Qi Shi & family,China,True,Technology
Yao Liangsong,China,True,Manufacturing
Zhang Congyuan,Taiwan,True,Fashion & Retail
Jean-Michel Besnier,France,False,Food & Beverage
